A16;Assessing a Multidisciplinary Group of Undergraduate Students Applying the Challenge Based Learning Methodology to Learn Mobile Development;2020;Andrew Diniz da Costa, Hendi Lemos Coelho, Ricardo Almeida Venieris, Carlos José Pereira de Lucena, Gustavo Robichez Carvalho, Marcelo Fernandes Pereira;PUC-Rio,PUC-Rio,PUC-Rio,PUC-Rio,PUC-Rio,PUC-Rio,;RJ,RJ,RJ,RJ,RJ,RJ,;Processo de Desenvolvimento;Tem apenas o link para a gravação da apresentação do artigo: https://zenodo.org/records/4081637 
A17;LEARN Board Game: A Game for Teaching Software Architecture Created through Design Science Research;2020;Tamires A. S. Sousa, Anna B. S. Marques;UFC,UFC,;CE,CE,;Análise / Projeto / Modelagem;gamificação: abordagem física, porém está totalmente descrita teorica/grafica mente e disponível em https://figshare.com/articles/preprint/LEARN_Board_Game/12774773/2
A18;Gamification in Remote Teaching of SE Courses: Experience Report;2020;Valéria Lelli, Rossana M. C. Andrade, Lavinia M. Freitas, Rubens A. S. Silva, Francisco Gutenberg S. Filho, Renata Faria Gomes, Jan Sousa de Oliveira Severo;UFC,UFC,UFC,UFC,UFC,UFC,UFC,;CE,CE,CE,CE,CE,CE,CE,;Processo de Desenvolvimento;gamificação: https://www.classcraft.com/pt/
A19;Identifying Improvement Opportunities in Software Engineering Education at the Maranhão State: Listening to Voices from Academy and Industry;2020;Yandson Costa, Dayanne Gomes, Sebastião Santos, Nathasha Pinto, Davi Viana, Geraldo Braz Júnior, Luis Rivero;UFMA,UFMA,UFMA,UFMA,UFMA,UFMA,UFMA,;MA,MA,MA,MA,MA,MA,MA,;Processo de Desenvolvimento;Não há abordagem.
A20;An Experience Report on the use of Problem-based learning and Design Thinking in a Requirements Engineering Postgraduate Course;2023;Anderson Felipe Souza, Natasha Valentim, Tayana Conte;UFAM,UFAM,UFAM,;AM,AM,AM,;Requisitos;abordagem teórica: design thinking
A21;Crossed Teams: Leveraging Student Interaction in Software Engineering Practice;2023;Marcelo de Almeida Maia;UFMG,;MG,;Processo de Desenvolvimento;abordagem teórica: equipes cruzadas.
A22;Empowering Technical Skills and Soft Skills in Software Engineering Students through Problem-Based Learning;2023;Ana Carolina Oran, Rayfran Rocha Lima, Bruno Gadelha, Nayane Maia, Williamson Silva, Luis Rivero;UFAM,Sidia,UFAM,UFAM,Unipampa,UFMA,;AM,AM,AM,AM,RS,MA,;Teste;abordagem teórica: Aprendizagem baseada em projetos
A23;Students’ Perception of Example-Based Learning in Software Modeling Education;2023;Tiago P. Bonetti, Matheus M. Dias, Williamson Silva, Thelma E. Colanzi;UEM,UEM,Unipampa,UEM,;PR,PR,RS,PR,;Análise / Projeto / Modelagem;abordagem teórica: Aprendizagem baseada em exemplos, porém o professor compartilha seu método https://figshare.com/s/bca90461729ec4ed3c6b  e o estudo https://tpipernob.github.io/example-basedLearning/
A24;Teaching and Promoting Engagement with OSS: Yet Another Experience Report;2023;Cristina Von Flach, Daniela Feitosa;UFBA,UFBA;BA,BA,;Gerência de Projetos;abordagem prática: github e open-source. A professora compartilha todos os materiais que passou aos alunos, mas os mais importantes são a sua ementa https://github.com/mate28-ic-ufba/turma-20212/blob/main/README.md e seus artefatos https://zenodo.org/records/8252922
A25;Training the Professionals that Industry Needs: The Digital Software Engineering Professional Education Program at PUC-Rio;2023;Marcos Kalinowski, Tatiana Escovedo, Fernanda Pina, Adriana Vidal, Ariane Pereira, Ricardo Ponsirenas, Daiana Garibaldi Rocha;PUC-Rio,PUC-Rio,PUC-Rio,PUC-Rio,Maisaedu,Maisaedu,;RJ,RJ,RJ,RJ,RS,RS,;Processo de Desenvolvimento;abordagem teórica: design thinking
A26;Undergraduates' perspective on a pedagogical architecture to requirements engineering education;2023;Thalia S. Santana, Taciana N. Kudo, Renato F. Bulcao-Neto;UFG,UFG,UFG,;GO,GO,GO,;Requisitos;abordagem teórica: arquitetura pedagógica, são usadas ferramentas como o Trello e o Planilhas, mas os artefatos são disponibilizados https://drive.google.com/drive/folders/1chOtC9Ai_GOZGHRrsxPmB6rYFwu8tdUs
A27;l10n-trainer: a Tool to Assist in the Training of Localization (l10n) and Internationalization (i18n) Testers;2023;Maria Couto, Breno Miranda;UFPE,UFPE,;PE,PE,;Manutenção;Acesso à ferramenta: github -  https://raquelcouto.github.io/L10N-TRAINER/ , vídeo explicação - https://www.youtube.com/watch?v=4oiUf70gcdI
A28;Reinforcing Software Engineering Learning through Provenance;2014;Troy C. Kohwalter, Esteban W. G. Clua, Leonardo G. P. Murta;UFF,UFF,UFF,;RJ,RJ,RJ,;Processo de Desenvolvimento;http://gems.ic.uff.br/ping
A29;2TScrum': A Board Game to Teach Scrum;2017;A. Brito, J. Vieira;UFC,UFC,;CE,CE,;Processo de Desenvolvimento;"o artigo não fornece um link de acesso direto para o jogo ""2TScrum"". Ele menciona que o jogo é físico, um jogo de tabuleiro, e não um jogo digital."
A30;Testing Game: An Educational Game to Support Software Testing Education;2017;Pedro Henrique Dias Valle, Rafaela Vilela Rocha, José Carlos Maldonado;USP,USP,USP,;SP,SP,SP,;Teste;https://bitbucket.org/pedrohdvalle/testinggamehtml5
A31;Gamification applied for Software Engineering teaching-learning process.;2017;Fabrício de Sousa Pinto, Paulo Caetano Silva;FTC,Unifacs,;BA,BA,;Análise / Projeto / Modelagem;"http://www.incremental.com.br/ilhadosrequisitos
http://www.inf.furb.br/~fabiane/serpg2
http://www.incremental.com.br/utest/
https://sistemas.quixada.ufc.br/iTestLearning
http://www.itaz.com.br/islandtest/"
A32;PBL Integration into a Software Engineering Undergraduate Degree Program Curriculum: An Analysis of the Students' Perceptions;2017;G. T. A. Guedes, A. S. Bordin, A. V. Mello, A. M. Melo;Unipampa,Unipampa,Unipampa,Unipampa,;RS,RS,RS,RS,;Análise / Projeto / Modelagem;O artigo não fornece um link específico para o acesso à abordagem proposta. O curso de ES na Unipampa é presencial e a integração da PBL no currículo é específica da instituição.
A33;As a teacher, I want to know what to teach in requirements engineering so that professionals can be better prepared;2017;Fabiane Barreto Vavassori Benitti;UFSC,;SC,;Requisitos;O artigo não fornece um link específico para a abordagem proposta. A pesquisa se baseia na análise de documentos e dados coletados através do survey com empresas.
